area_c,p_ds,m_ds,p_ps,m_ps,p_imp,m_imp,pop,kfc,p_ds%,m_ds%,p_ps%,m_ps%,p_imp%,m_imp%,pop%,kfc%
598,2.8941295262309965,59.91920019122693,1.34,29.31,2.250989631512997,5.252309140196994,9329.23,0.0,-0.9409590155803926,-3.4001542091012764,0.0,-3.1714568880079312,0.15969699535758425,-13.442237164505775,4.832585510783584,0.0
600,10.708748426667578,44.2317869797139,4.86,18.45,0.15519925256039968,2.948785798647594,6443.33,0.000465597757681199,3.2425493315747267,30.133239869866056,3.8461538461538596,28.840782122905022,-2.74252599199482,269.5784012304197,2.8198614244999702,0.0
604,51.2670188802985,65.33362066877531,18.2,22.76,2.1736470754820685,2.8257411981266887,32203.94,0.003974668938024353,9.771995877316343,7.61995972933516,9.969788519637452,7.816200852676467,32.68956117377771,31.30325232569346,3.440617895350174,-44.34782608695652
608,15.013515848562074,38.99829822258394,6.76,16.26,2.5974303492604323,5.996195593505466,108568.84,0.003048756899309231,8.141931886485343,3.151502033644662,7.987220447284344,3.172588832487321,10.73423137596834,16.670247094934325,3.5218693596688637,6520.0
616,32.37156639442015,90.46905283444605,13.46,40.63,1.9988858158543317,23.62319600555119,38521.46,0.006853322797214852,-6.635871468405644,0.5469713127397432,-10.086840347361388,1.195516811955178,97.490482394715,17.603564216725985,-0.027639285780097313,200.0
620,31.681767337264077,97.96080207350364,14.64,40.4,8.260583508182352,38.67896748537148,10289.83,0.0026239500555402763,1.3497775399738108,4.029237165980967,4.646175839885635,5.925537493445197,4.09090761484292,9.196748984828465,-0.41537828748397154,575.0
624,3.116964076989013,16.623808410608067,1.46,6.85,2.0779760513260084,2.0779760513260084,1924.95,0.0,-4.696225875996771,-1.621910581674094,1.3888888888888902,-1.8624641833811,27.071698832004294,-4.696225875996778,4.927638930527928,0.0
626,7.9248722114355905,21.397154970876095,3.69,8.83,7.1323849902920315,9.50984665372271,1261.85,0.0,7.827572391506302,4.808400364544124,16.0377358490566,4.620853080568727,9.175417046400133,29.393086869807572,3.0451754099431603,0.0
642,19.381050840576577,65.23253690815116,8.81,26.11,7.191389917161309,29.17358179160474,19606.78,0.0038762101681153152,-10.97388492979495,-5.594881297446401,-10.920121334681497,-5.842048323115763,3.9225132334120483,24.477008850316402,-0.964954727338671,153.33333333333334
643,31.492810720655335,76.66202845145791,14.12,32.17,1.5447748881943428,5.787756581101471,145652.29,0.0,4.598198894788064,3.1274919114411643,4.515173945225754,3.1089743589743666,0.9734173040427924,-25.079705997492752,0.3742906374759558,0.0
646,1.5161417225444689,8.538271805908325,0.67,3.9,0.0,0.0,12531.81,0.0,0.49408487503224946,-4.795077486811559,-1.4705882352941189,-3.4653465346534684,0.0,0.0,5.036585672497464,0.0
659,83.75209380234506,104.69011725293133,24.59,38.69,62.814070351758794,104.69011725293133,47.76,0.0,0.06281407035176179,-16.614321608040196,-10.90579710144928,-8.94328077194635,-24.952889447236178,-16.614321608040196,-0.06277463904582786,0.0
662,61.83596604643319,101.18612625779977,28.63,41.57,56.214514587666535,67.45741750519984,177.89,0.0,-9.095976914572676,-0.8319748158974637,-2.949152542372885,-1.7954169619655045,-0.8319748158974707,-14.998835556483547,0.8389547077829996,0.0
670,85.48632218844985,113.98176291793312,36.49,47.0,75.98784194528875,104.48328267477204,105.28,0.0,0.6458966565349614,0.6458966565349531,0.3851444291609369,-0.021272069772384623,0.6458966565349468,0.6458966565349553,-0.641751604379004,0.0
678,9.463423866754992,18.926847733509984,5.31,7.84,9.463423866754992,14.195135800132489,211.34,0.0,-3.1749787072962965,29.100028390271603,21.51029748283752,15.634218289085538,-3.1749787072962965,-3.1749787072962907,3.279089087621565,0.0
682,33.69683075595413,44.71969234222387,15.26,19.94,18.304803825903896,24.0732443451435,35018.13,0.0062824599714490755,-22.128465097837672,-18.116969116455603,-22.340966921119588,-18.711781492050548,-34.789097340784906,-30.592059291346995,4.793652912189184,0.0
686,6.292171190716351,17.335573688708312,2.85,7.7,0.0,0.5136466278135796,15574.91,0.0,11.82901495889825,5.670780284571998,11.764705882352953,6.353591160220994,0.0,8.242661709487507,5.582875070501969,0.0
688,13.990115445356492,72.50646370237644,6.3,28.98,2.2868457939525038,9.147383175810015,7433.82,0.0010761627265658841,29.422212550043636,9.759991797248553,29.629629629629616,9.441087613293051,114.19998399207947,85.25404020936601,-0.7936433796102947,0.0
690,38.797284190106694,87.29388942774005,17.0,29.07,29.09796314258002,77.59456838021339,103.1,0.0,-2.5121241513094006,-2.5121241513094086,12.65738899933731,-0.9877384196185257,-2.5121241513094006,-2.5121241513094006,2.5768580240771954,0.0
694,3.816172429935074,8.013962102863657,1.71,3.64,2.2897034579610445,3.3073494392770644,7861.28,0.0,2.135902622909821,1.7896792241881079,1.1834319526627228,2.5352112676056424,7.242697754055319,18.0237096975847,4.9022472914673365,0.0
703,15.054849222013127,58.75063111029513,6.43,22.52,16.15642355533116,61.13737549915087,5446.75,0.0007343828888786891,3.501135562781897,1.6198814287372298,1.5797788309636593,1.578709968425791,48.72672476900778,8.868627479012527,0.28630873471792945,-42.857142857142854
704,11.273324059707317,44.07132200164085,5.07,17.94,1.7068023342734442,2.465381149506086,94914.33,0.0,17.039637820073054,6.464573035680066,17.633410672853845,7.104477611940306,101.20073264150118,62.83148339071845,1.919753694248033,0.0
705,24.217444157422886,69.80322139492479,10.91,28.76,10.921592463151496,50.80914754596566,2105.92,0.0004748518462239781,-0.755014435496125,-4.646974653711956,0.2757352941176412,-4.069379586390923,8.696888951599485,9.47642737527747,0.7607582702557913,-50.0
710,37.60051510612902,63.5337089664323,16.99,27.93,8.981570166816534,10.13260634353477,57339.64,0.015922667111268923,2.736388157728351,0.07582583488174467,2.6586102719033096,0.03581661891116766,-0.6351809850848025,-0.05163445478469863,1.6259005530972128,566.4233576642335
716,4.384746927023195,50.09241186326499,1.98,21.43,0.2657422380014058,0.33217779750175724,15052.18,0.0003986133570021087,-15.504757450415832,-8.00881817837231,-15.021459227467815,-7.827956989247313,-51.991339460463536,-51.991339460463536,4.147875483473673,0.0
724,33.61682884524804,107.68925654876342,15.22,42.63,4.167375476683641,12.416641804888181,46792.04,0.0030347041932773182,10.3309070840708,9.727631663073408,10.530137981118381,8.611464968152873,-2.1859726827922428,-1.0218579890315582,0.6858128491788432,2740.0
